slug_en,slug_ar,dir,label_en,label_ar,icon,avg_time_iso,steps_id,intro_ar,intro_en
payroll-calculator-online,حاسبة-الرواتب-عبر-الإنترنت,Gross→Net,Online Payroll & Pay-Stub Calculator,حاسبة الرواتب وإيصالات الدفع عبر الإنترنت,payroll-calculator-online.svg,PT20S,payroll_calculator_online,"حوّل راتبك الإجمالي إلى صافي بدقة واستخرج إيصال دفع PDF جاهز للطباعة في ثوانٍ دون تسجيل أو برامج إضافية.","Convert your gross salary to accurate net pay and instantly generate a printable pay-stub PDF directly in your browser—no sign-up or extra software required."
online-time-tracking,تتبع-الوقت-عبر-الإنترنت,Time→Sheet,Online Time-Tracking & Timesheets,تتبع الوقت وإدارة الجداول الزمنية عبر الإنترنت,online-time-tracking.svg,PT15S,online_time_tracking,"تتبّع ساعات العمل والمشروعات لفريقك لحظة بلحظة واحصل على تقارير زمنية قابلة للتصدير تلقائياً تعمل على جميع الأجهزة والأنظمة.","Track work hours and projects in real-time for your whole team and export timesheet reports automatically on any device or OS."
time-zone-meeting-planner,مخطط-اجتماعات-عبر-المناطق-الزمنية,Zone→Meet,Time-Zone Meeting Planner,مخطط اجتماعات المناطق الزمنية,time-zone-meeting-planner.svg,PT15S,time_zone_meeting_planner,"اعثر على أفضل وقت اجتماع بين مناطق زمنية متعددة بنقرة واحدة وشارك رابط التقويم مباشرة مع فريقك بدون تنزيل أو تسجيل.","Find the perfect meeting time across multiple time zones with one click and share a calendar link instantly—no downloads or sign-ups."
resume-ats-checker,فحص-السيرة-الذاتية-ATS,Doc→Score,ATS Resume & CV Checker,فاحص سيرة ذاتية ATS شامل,resume-ats-checker.svg,PT20S,resume_ats_checker,"ارفع سيرتك الذاتية PDF أو DOCX واحصل فوراً على تحليل درجة التوافق مع أنظمة تتبع المتقدمين ونصائح تحسين الكلمات المفتاحية والتنسيق بدون تسجيل أو برامج إضافية.","Upload your PDF or DOCX résumé for an instant ATS-compatibility score plus keyword and formatting tips—no account or software needed."
invoice-ocr-receipt-scanner,ماسح-فواتير-وإيصالات-OCR,IMG→Data,Invoice & Receipt OCR Scanner,تحويل الفواتير والإيصالات إلى بيانات,invoice-ocr-receipt-scanner.svg,PT15S,invoice_ocr_receipt_scanner,"حوّل أي فاتورة أو إيصال إلى جدول بيانات منظم في ثوانٍ مع استخراج البنود والمبالغ والضرائب تلقائياً عبر التعرف البصري على الحروف في المتصفح مباشرة.","Turn any invoice or receipt into a structured spreadsheet in seconds with automatic line-item, amount, and tax extraction right in the browser."
kpi-dashboard-software,برنامج-لوحات-مؤشرات-الأداء,Data→Dashboard,KPI Dashboard Software,برنامج لوحة مؤشرات الأداء الذكية,kpi-dashboard-software.svg,PT30S,kpi_dashboard_software,"أنشئ لوحات تحكم تفاعلية لمؤشرات الأداء من ملفات Excel أو تكاملات API واعرضها بفلاتر ومرئيات احترافية تعمل على جميع الأجهزة بلا إعداد معقد.","Build interactive KPI dashboards from Excel files or API integrations with professional filters and visuals that work on every device—zero setup."
privacy-policy-generator,مولد-سياسة-الخصوصية,Policy→HTML,Privacy Policy & Disclaimer Generator,إنشاء سياسة خصوصية وتنصل قانوني,privacy-policy-generator.svg,PT10S,privacy_policy_generator,"احصل على سياسة خصوصية ونص تنصل متوافقين مع ‎GDPR‎ و‎CCPA‎ بالإنجليزية أو العربية، قابلين للنسخ أو التنزيل كـ HTML/PDF في أقل من دقيقة.","Generate GDPR- and CCPA-ready privacy policy and disclaimer text in English or Arabic, then copy or download as HTML/PDF in under a minute."
iso-27001-checklist,قائمة-تحقق-ISO-27001,ISO→Checklist,ISO 27001 Audit Checklist,قائمة تدقيق معيار ISO 27001,iso-27001-checklist.svg,PT20S,iso_27001_checklist,"نزّل القائمة الكاملة لتدقيق نظام إدارة أمن المعلومات مع المتطلبات والأدلة المطلوبة وخطة تتبع الثغرات جاهزة كملف Excel قابل للتخصيص الفوري.","Download the full ISMS audit checklist with requirements, evidence prompts, and a gap-tracking plan in an instantly editable Excel file."
value-stock-screener,مصفاة-أسهم-أقل-من-القيمة-الدفترية,Stock→Value,Value Stock Screener,مصفاة الأسهم منخفضة القيمة,value-stock-screener.svg,PT15S,value_stock_screener,"استخرج قائمة محدثة بالأسهم المتداولة دون قيمتها الدفترية وحدد فرص الاستثمار بناءً على مؤشرات القيمة والأرباح والحركة اللحظية للسوق في واجهة واحدة.","Pull an up-to-date list of stocks trading below book value and spot opportunities using value ratios, earnings, and live market moves in one interface."
web-accessibility-checker,فحص-إمكانية-الوصول-للمواقع,Web→ADA,Web Accessibility Checker,فحص إمكانية الوصول للمواقع,web-accessibility-checker.svg,PT20S,web_accessibility_checker,"أجرِ فحصاً فورياً لموقعك للكشف عن أخطاء إمكانية الوصول وفق معايير WCAG و ADA واحصل على تقرير PDF وتنبيهات تحسين تلقائياً دون تسجيل أو تثبيت.","Run an instant WCAG and ADA audit for any website, get a PDF report and automated fix recommendations—no install needed."
